task_id,dataset_name,model_name,horizon,n_support,n_query,seasonal_period,rmse,mae,smape
btc_task_005,BTC,ChronosBolt_Mini,5,,218,,204.24817940190025,117.91577981651382,0.007180194505919174
btc_task_005,BTC,ChronosBolt_Tiny,5,,218,,191.43589695300577,117.87614678899092,0.007166933313307018
btc_task_005,BTC,Drift,5,,218,,190.70161466801127,106.05990795976396,0.0064643886753843844
btc_task_005,BTC,ETS,5,,218,,190.50797829769382,106.05308413812352,0.006464061875389188
btc_task_005,BTC,LocalDLinear_L5_K3_ep20,5,,218,,193.2217769882308,128.17829898939218,0.00780301144558247
btc_task_005,BTC,LocalFITS_L5_Cauto_ep20,5,,218,,182.63734446461365,110.5489886754587,0.006725638161034105
btc_task_005,BTC,Naive,5,,218,,181.09007472333408,102.45119266055019,0.006237649829129988
btc_task_005,BTC,SES,5,,218,,181.14875977546234,102.48202761078954,0.00623964987026909
btc_task_005,BTC,SeasonalNaive,5,,218,,328.62766898145316,253.66275229357805,0.015441412093341574
btc_task_005,BTC,Theta,5,,218,,183.68752377737067,103.2095796507865,0.0062858854209119795
btc_task_006,BTC,AdaptSmooth-Chronos2,5,,124,,27.838883071155898,20.39012701946542,0.00524838074615986
btc_task_006,BTC,AutoARIMA,5,,124,,83.09954501424068,52.96661374807344,0.013829706800602198
btc_task_006,BTC,Chronos2,5,,124,,30.47626863643252,22.741290322580646,0.0058594491082243835
btc_task_006,BTC,ChronosBolt_Mini,5,,124,,29.94468634536987,21.714838709677416,0.005605825191477669
btc_task_006,BTC,ChronosBolt_Tiny,5,,124,,29.685758206968217,21.98274193548387,0.005675880194174755
btc_task_006,BTC,Drift,5,,124,,25.907153256671442,18.52624980268289,0.0047455732896690955
btc_task_006,BTC,ETS,5,,124,,26.888304425214795,19.26276772089275,0.004930453590420419
btc_task_006,BTC,LocalDLinear_L5_K3_ep20,5,,124,,42.170944172048706,31.382032746345775,0.00810704154260011
btc_task_006,BTC,LocalFITS_L5_Cauto_ep20,5,,124,,28.12048499309493,19.761343954763113,0.00508564948550011
btc_task_006,BTC,Naive,5,,124,,26.402984801942605,18.591129032258028,0.004779696371150376
btc_task_006,BTC,SES,5,,124,,26.297926603902194,18.345295185099776,0.004717520405480739
btc_task_006,BTC,SeasonalNaive,5,,124,,103.13967672686674,71.28298387096774,0.018649632560227322
btc_task_006,BTC,Theta,5,,124,,25.254564347500676,17.953876052021332,0.004607286626054731
btc_task_007,BTC,AdaptSmooth-Chronos2,5,,146,,242.52209472287385,179.87868503194431,0.016077767811611767
btc_task_007,BTC,AutoARIMA,5,,146,,249.6673463854385,181.4533200812065,0.016210610012000637
btc_task_007,BTC,Chronos2,5,,146,,253.14824231192372,190.81198630136984,0.017005873974603496
btc_task_007,BTC,ChronosBolt_Mini,5,,146,,241.1726414761329,179.47171232876704,0.016052561730939944
btc_task_007,BTC,ChronosBolt_Tiny,5,,146,,255.17313324110393,190.27636986301363,0.01697476063503877
btc_task_007,BTC,Drift,5,,146,,256.9736061919755,190.69241461690518,0.017068421043684615
btc_task_007,BTC,ETS,5,,146,,254.7419008647821,186.20807006475945,0.01666040037053876
btc_task_007,BTC,LocalDLinear_L5_K3_ep20,5,,146,,334.1598577697461,254.28611194349313,0.02274296635880868
btc_task_007,BTC,LocalFITS_L5_Cauto_ep20,5,,146,,257.9210125927938,195.3886911386986,0.017530780050373288
btc_task_007,BTC,Naive,5,,146,,242.92228827004777,179.37972602739723,0.016041010762113415
btc_task_007,BTC,SES,5,,146,,241.03027167602127,176.44382450024858,0.015785735407642224
btc_task_007,BTC,SeasonalNaive,5,,146,,707.0973579214194,607.1742465753424,0.054687042134399864
btc_task_007,BTC,Theta,5,,146,,249.81452838369262,182.52778584022823,0.01632573605590642
btc_task_008,BTC,AdaptSmooth-Chronos2,5,,148,,132.79919726054575,98.85882018760873,0.004767268347083668
btc_task_008,BTC,AutoARIMA,5,,148,,125.88886487984091,90.23381016411591,0.00435391401571564
btc_task_008,BTC,Chronos2,5,,148,,142.10153654997853,108.4831756756757,0.005228043321836755
btc_task_008,BTC,ChronosBolt_Mini,5,,148,,142.6135628595209,106.29277027027032,0.005121894880051111
btc_task_008,BTC,ChronosBolt_Tiny,5,,148,,146.38847683244865,111.08790540540546,0.005343731403774624
btc_task_008,BTC,Drift,5,,148,,126.57578047984624,90.78883988804058,0.004380448131626526
btc_task_008,BTC,ETS,5,,148,,129.23859161204106,94.77623884863115,0.004566670536083974
btc_task_008,BTC,LocalDLinear_L5_K3_ep20,5,,148,,155.07188149695665,104.5214020270271,0.005027792319537954
btc_task_008,BTC,LocalFITS_L5_Cauto_ep20,5,,148,,143.04502439112352,100.65718486064193,0.004854102998930611
btc_task_008,BTC,Naive,5,,148,,125.6932556217071,89.74250000000015,0.004330339772129015
btc_task_008,BTC,SES,5,,148,,125.09033931140866,89.50928568960784,0.004319321355442325
btc_task_008,BTC,SeasonalNaive,5,,148,,432.0589034190232,326.81493243243244,0.0157131171863432
btc_task_008,BTC,Theta,5,,148,,126.55838745750546,90.54480379704917,0.004368834507778649
btc_task_009,BTC,AdaptSmooth-Chronos2,5,,365,,113.27532222829915,63.4361148543875,0.008523404418966322
btc_task_009,BTC,AutoARIMA,5,,365,,112.11138507189949,62.01964383561639,0.008316307154750758
btc_task_009,BTC,Chronos2,5,,365,,116.35237396898776,67.73813698630137,0.009108678063908278
btc_task_009,BTC,ChronosBolt_Mini,5,,365,,111.11500285616714,64.49139726027397,0.008618498377686802
btc_task_009,BTC,ChronosBolt_Tiny,5,,365,,115.68377337107339,70.87008219178082,0.009488049149595916
btc_task_009,BTC,Drift,5,,365,,111.9597268581182,61.53864534743905,0.008257276050011118
